"schema_version","experiment_id","phase","repeat_index","job_id","sample_index","sample_epoch_s","gpu_metrics_status","gpu_name","gpu_utilization_pct","gpu_memory_used_mib","gpu_memory_total_mib","vllm_metrics_status","vllm_num_requests_running","vllm_num_requests_waiting","vllm_kv_cache_usage_perc","server_version","pgvector_version"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","48","1784983468.8291333","snapshot","NVIDIA GeForce RTX 5070","85","11330","12227","ok","7","0","0.0026225860287689695","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","49","1784983469.1733098","snapshot","NVIDIA GeForce RTX 5070","88","11329","12227","ok","6","0","0.0026225860287689695","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","50","1784983469.5103438","snapshot","NVIDIA GeForce RTX 5070","88","11329","12227","ok","7","0","0.002861002940475199","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","51","1784983469.8642218","snapshot","NVIDIA GeForce RTX 5070","88","11329","12227","ok","7","0","0.00429150441071291","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","52","1784983470.1862106","snapshot","NVIDIA GeForce RTX 5070","88","11334","12227","ok","7","0","0.0024636414209647794","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","53","1784983470.5109825","snapshot","NVIDIA GeForce RTX 5070","88","11334","12227","ok","5","0","0.005086227449733749","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","54","1784983470.853361","snapshot","NVIDIA GeForce RTX 5070","88","11327","12227","ok","7","0","0.008900898037034088","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","55","1784983471.1901677","snapshot","NVIDIA GeForce RTX 5070","92","11329","12227","ok","6","0","0.012874513232138618","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","56","1784983471.5333586","snapshot","NVIDIA GeForce RTX 5070","92","11329","12227","ok","6","0","0.007788285782404869","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","57","1784983471.8473668","snapshot","NVIDIA GeForce RTX 5070","92","11329","12227","ok","7","0","0.00150997377413975","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","58","1784983472.1696982","snapshot","NVIDIA GeForce RTX 5070","86","11329","12227","ok","7","0","0.010808233330684258","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","59","1784983472.4969811","snapshot","NVIDIA GeForce RTX 5070","86","11329","12227","ok","7","0","0.027020583326710645","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","60","1784983472.8416662","snapshot","NVIDIA GeForce RTX 5070","86","11329","12227","ok","5","0","0.015894460780418007","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","61","1784983473.1711638","snapshot","NVIDIA GeForce RTX 5070","95","11329","12227","ok","8","0","0.005642533577048359","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","62","1784983473.4948518","snapshot","NVIDIA GeForce RTX 5070","95","11329","12227","ok","8","0","0.005404116665342129","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","63","1784983473.8376448","snapshot","NVIDIA GeForce RTX 5070","95","11329","12227","ok","8","0","0.0018278629897480192","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","64","1784983474.1812034","snapshot","NVIDIA GeForce RTX 5070","79","11327","12227","ok","8","0","0.008821425733132049","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","65","1784983474.518065","snapshot","NVIDIA GeForce RTX 5070","79","11327","12227","ok","8","0","0.010808233330684258","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","66","1784983474.8373365","snapshot","NVIDIA GeForce RTX 5070","79","11329","12227","ok","7","0","0.009695621076055039","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","67","1784983475.1841743","snapshot","NVIDIA GeForce RTX 5070","92","11329","12227","ok","7","0","0.0051656997536358995","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","68","1784983475.5229294","snapshot","NVIDIA GeForce RTX 5070","92","11329","12227","ok","7","0","0.00119208455853137","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","69","1784983475.8380384","snapshot","NVIDIA GeForce RTX 5070","92","11329","12227","ok","8","0","0.007231979655090148","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","70","1784983476.166853","snapshot","NVIDIA GeForce RTX 5070","90","11329","12227","ok","6","0","0.0009536676468250294","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","71","1784983476.5056186","snapshot","NVIDIA GeForce RTX 5070","90","11329","12227","ok","7","0","0.0016689183819439402","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","72","1784983476.8261805","snapshot","NVIDIA GeForce RTX 5070","90","11329","12227","ok","6","0","0.00238416911706274","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
